,Open,High,Low,Close,Adj Close,Volume
0,175.830002,179.220001,173.009995,179.160004,179.160004,7428200
1,180.119995,190.740005,180.119995,187.899994,187.899994,11140700
2,187.490005,187.5,182.270004,185.539993,185.539993,5627300
3,190.779999,194.009995,185.740005,191.660004,191.660004,12280100
4,193.690002,200.990005,191.550003,195.970001,195.970001,10935100
5,200.110001,209.360001,199.270004,207.779999,207.779999,12509600
6,208,208.039993,199.550003,202.899994,202.899994,12288900
7,207.449997,214.520004,204.570007,212.919998,212.919998,12948100
8,215,215,205.899994,212.520004,212.520004,6526000
9,213,213.539993,200.229996,210.960007,210.960007,14091100
10,212.559998,212.949997,200.5,203,203,10795900
11,200.130005,204.059998,195.130005,202,202,10483700
12,207,208.690002,204.050003,205.529999,205.529999,6918200
13,206.289993,209.75,203.580002,208.149994,208.149994,6566200
14,209.789993,213.662003,208.25,212.580002,212.580002,5895300
15,213.330002,213.899994,208.25,213.009995,213.009995,5373200
16,213.960007,220.5,205.009995,207.039993,207.039993,11133000
17,205.389999,217.610001,203.570007,217.25,217.25,7919200
18,218.259995,222.199997,213.169998,216.589996,216.589996,7914600
19,218.009995,220.429993,214.501007,215.860001,215.860001,7379000
20,218.414993,221.720001,216.729996,219.990005,219.990005,5713600
21,223.860001,227.960007,220.029999,227.080002,227.080002,8216500
22,230,237.089996,227.699997,230.740005,230.740005,10440100
23,235,236.369995,231.100006,235.449997,235.449997,8099500
24,236.089996,241.850006,232.259995,233.5,233.5,11155400
25,236.5,243.380005,236,241.580002,241.580002,9414200
26,241.360001,241.820007,230.580002,230.679993,230.679993,13482700
27,234.229996,236,225.899994,228.279999,228.279999,8411200
28,232.380005,232.949997,219.649994,223.339996,223.339996,11640000
29,223.880005,224.589996,208.809998,214,214,15453100
30,215.940002,221.509995,214.067001,221.039993,221.039993,9837000
31,217.710007,219.449997,214.419998,217.639999,217.639999,6872400
32,222.494995,225.979996,216,221.160004,221.160004,9838400
33,219.419998,230.339996,219,229.75,229.75,9699400
34,223.410004,233.5,223.160995,226.889999,226.889999,12003500
35,232.520004,240.399994,231.5,239.479996,239.479996,10214200
36,244.350006,246.490005,237.179993,241.449997,241.449997,9102100
37,231.610001,232.740005,225.300003,225.5,225.5,14107500
38,228.509995,229.330002,223.720001,227.520004,227.520004,8437900
39,228.949997,234.820999,226.800003,230.919998,230.919998,7601400
40,233.899994,238.759995,229.589996,232.789993,232.789993,6706500
41,233.630005,236.429993,225.580002,227.75,227.75,7049200
42,231.070007,231.589996,223.25,227.259995,227.259995,6505600
43,230.119995,230.880005,225.5,226.649994,226.649994,6012400
44,227,227.5,218.199997,219.619995,219.619995,10472400
45,219,222.910004,217.710007,222.880005,222.880005,6867500
46,225,225.940002,209.75,216.639999,216.639999,11328100
47,217.089996,219,208.710007,209.169998,209.169998,10039500
48,204.009995,209.350006,197.699997,202.460007,202.460007,10892700
49,208.720001,222.580002,206.559998,219.910004,219.910004,12500800
50,224.970001,225.899994,212.580002,215.960007,215.960007,9383900
